Identificador de la vivienda,Mujer,Edad,Tamaño de localidad,Agua de la red pública,Confianza con la salud,Continuidad en el suministro,Agua para beber,Alimentos descongelados,Energía para cocinar,Recolección de basura,Separación de basura,Número de vehículos,Elección de productos de limpieza,Elección de alimentos,Especificación de alimentos,Menos empaques,Reusar empaques,Gasto de gasolina,Fenómeno climático,Cultivos
600864102,1,54,1,1,3,3,2,1,3,1,1,2,5,2, ,3,3,3,2, 
600868075,1,83,1,1,3,3,1,1,3,1,1,1,1,2, ,3,3,3,2, 
600875020,1,34,1,1,3,3,1,1,3,1,1,0,1,2, ,3,3,3,2, 
600943011,1,60,1,1,2,3,1,1,7,1,1,1,5,2, ,3,3,3,2, 
600967141,1,27,1,1,3,2,1,2,3,1,2,1,3,2, ,3,3,2,2, 
600967154,1,33,1,1,2,1,1,1,3,1,2,2,4,2, ,3,3,1,2, 
601062010,1,38,1,1,3,2,1,1,3,1,1,2,5,2, ,3,3,3,2, 
601088031,1,24,1,1,3,3,1,1,3,1,1,1,2,2, ,3,3,3,2, 
601088091,1,32,1,1,2,3,1,1,3,1,2,1,1,2, ,2,3,1,2, 
601105043,1,45,1,1,1,3,1,1,3,1,1,1,1,2, ,3,3,1,2, 
601105088,1,42,1,1,3,3,1,2,3,1,1,0,1,2, ,2,2,3,2, 
2960156206,1,29,4,1,3,3,2,2,1,3,2,0,5,2, ,3,3,3,1,2
601157044,1,39,1,1,2,2,2,2,3,1,1,2,1,2, ,3,3,3,2, 
2960207319,1,17,4,1,2,2,1,2,3,1,1,0,4,2, ,3,3,3,1,2
3100686007,1,48,1,1,2,3,1,1,3,1,2,2,4,2, ,3,3,3,1,2
601322094,1,35,2,1,3,3,1,1,3,1,2,1,4,2, ,3,3,3,2, 
601449142,1,29,3,1,3,3,1,2,3,1,2,1,3,2, ,3,3,1,2, 
102362205,1,25,3,1,2,1,1,2,3,2,1,0,4,2, ,3,3,3,1,2
601520299,1,35,3,1,3,3,1,1,3,1,1,0,1,2, ,3,3,1,2, 
601531111,1,55,3,1,3,2,1,1,3,1,2,1,5,2, ,3,3,3,2, 
601531136,1,55,3,1,3,2,1,2,1,1,2,0,4,2, ,3,3,3,2, 
601531216,1,25,3,1,2,3,1,1,3,1,1,0,1,2, ,3,3,3,2, 
601548069,1,74,1,1,2,2,1,2,3,1,2,0,2,2, ,3,3,3,2, 
200849040,1,46,1,1,2,3,1,1,3,1,2,1,4,2, ,3,3,3,1,2
700102023,1,23,1,1,3,2,1,1,3,1,2,0,5,2, ,3,3,3,2, 
700102051,1,78,1,1,2,2,1,2,3,1,1,1,4,2, ,3,3,3,2, 
700362007,1,59,1,1,1,2,1,1,3,1,2,2,5,2, ,3,3,3,2, 
700584034,1,66,1,1,1,1,1,2,3,1,2,1,1,2, ,3,3,3,2, 
700584080,1,44,1,1,1,3,1,2,3,1,2,1,3,2, ,3,3,3,2, 
700606100,1,51,1,1,2,3,1,2,3,1,1,0,5,2, ,3,3,2,2, 
700675002,1,53,1,2, , ,1,1,1,1,1,1,1,2, ,3,3,3,2, 
701018040,1,31,1,1,1,3,1,2,3,1,2,0,4,2, ,3,3,2,2, 
701213025,1,76,1,1,1,3,1,1,3,1,2,2,1,2, ,3,3,3,2, 
701449057,1,45,1,1,1,2,1,1,3,1,1,2,2,2, ,3,3,3,2, 
701449086,1,44,1,1,2,1,1,2,3,1,2,3,1,2, ,3,3,3,2, 
701968106,1,63,1,1,2,3,1,2,3,1,1,1,5,2, ,3,3,2,2, 
702564269,1,37,2,1,1,3,1,1,3,1,2,1,1,2, ,3,3,3,2, 
702858126,1,39,2,2, , ,1,2,3,1,2,0,1,2, ,3,3,3,2, 
703073034,1,64,2,1,1,3,1,1,3,1,1,1,4,2, ,3,3,3,2, 
703253014,1,48,2,1,2,2,1,2,3,1,1,1,1,2, ,2,3,3,2, 
301135316,1,32,2, , , ,1,2,3,3,2,0,5,2, ,3,3,1,1,2
301305261,1,46,3,1,2,3,1,2,3,1,1,1,5,2, ,3,3,1,1,2
760284294,1,22,4,1,3,2,2,2,1,3,1,0,5,2, ,3,3,3,2, 
760686019,1,38,4,1,3,3,2,2,1,1,2,0,1,2, ,3,3,3,2, 
360079071,1,81,4,1,3,3,1,1,3,3,2,0,5,2, ,3,3,3,1,2
760867078,1,61,4,1,3,3,2,2,3,3,2,0,4,2, ,3,3,3,2, 
400311050,1,28,1,1,1,2,1,2,3,1,1,2,5,2, ,3,3,3,1,2
400809459,1,34,1,2, , ,1,2,1,1,2,0,2,2, ,3,3,3,1,2
400853090,1,67,1, , , ,1,2,7,1,2,0,4,2, ,3,3,3,1,2
761750057,1,27,4,1,3,3,2,2,1,1,1,0,4,2, ,1,3,3,2, 
761784045,1,39,4,1,2,1,1,2,1,3,1,1,4,2, ,3,3,3,2, 
761892136,1,16,4,1,3,3,2,2,1,3,1,0,5,2, ,3,3,1,2, 
800076033,1,40,1,1,1,3,1,1,3,1,2,2,5,2, ,3,3,3,2, 
800208116,1,49,1,1,3,3,1,1,3,1,1,1,4,2, ,3,3,3,2, 
801219015,1,62,1,1,1,1,2,2,4,1,1,2,4,2, ,3,3,3,2, 
801279101,1,74,1,1,2,1,2,2,4,1,2,2,4,2, ,3,3,1,2, 
801393011,1,65,1,1,3,3,2,1,3,2,2,0,5,2, ,3,3,3,2, 
801727005,1,34,1,1,1,1,1,1,4,1,1,2,1,2, ,3,3,3,2, 
801754011,1,29,1,1,1,1,1,1,3,1,1,1,4,2, ,3,3,3,2, 
460194005,1,52,4,1,3,3,1,2,1,3,1,0,2,2, ,3,3,3,1,1
802978036,1,36,1,1,1,2,1,1,3,1,2,2,5,2, ,3,3,3,2, 
803071116,1,55,1,1,1,3,1,1,3,1,2,1,5,2, ,3,3,3,2, 
803482013,1,53,1,1,3,3,2,2,3,1,2,0,4,2, ,3,3,3,2, 
804457035,1,48,1,1,3,3,1,1,4,1,2,3,4,2, ,3,3,3,2, 
805431058,1,60,1,1,1,2,1,1,4,1,2,2,4,2, ,3,3,3,2, 
805431211,1,59,1,1,2,3,2,1,4,1,1,2,4,2, ,3,3,3,2, 
806038064,1,10,1,1,2,3,1,1,3,1,1,1,1,2, ,3,3,3,2, 
806061017,1,55,1,1,3,3,1,1,4,1,1,1,5,2, ,3,3,3,2, 
500933022,1,31,1,1,1,1,1,1,3,2,2,0,4,2, ,3,3,3,1,1
501718056,1,43,1,1,3,2,1,2,4,1,1,1,1,2, ,3,3,1,1,2
503541037,1,54,1,1,2,2,1,2,3,1,1,0,4,2, ,3,3,3,1,2
808265062,1,25,2,1,2,3,1,1,3,1,2,2,4,2, ,3,3,3,2, 
808265273,1,36,2,1,3,3,1,1,3,1,2,1,4,2, ,3,3,3,2, 
809075095,1,27,1,1,3,1,2,1,4,1,2,1,5,2, ,3,3,3,2, 
860063158,1,35,4,1,2,3,1,1,3,1,1,2,2,2, ,3,3,3,2, 
900083113,1,40,1,1,9,3,1,1,3,2,1,0,4,2, ,3,3,3,2, 
900399061,1,87,1,1,3,2,2,1,3,1,1,1,1,2, ,3,3,1,2, 
